0<=x<30; y=85.000000+-0.500000x; interpolation
30<=x<60; y=70.000000+0.000000x; interpolation
60<=x<90; y=28.000000+0.700000x; interpolation
90<=x<120; y=103.000000+-0.133333x; interpolation
120<=x<150; y=79.000000+0.066667x; interpolation
150<=x<180; y=99.000000+-0.066667x; interpolation
180<=x<210; y=117.000000+-0.166667x; interpolation
210<=x<240; y=152.000000+-0.333333x; interpolation
240<=x<270; y=-64.000000+0.566667x; interpolation
270<=x<300; y=161.000000+-0.266667x; interpolation
300<=x<330; y=-9.000000+0.300000x; interpolation
330<=x<360; y=211.000000+-0.366667x; interpolation
360<=x<390; y=187.000000+-0.300000x; interpolation
390<=x<420; y=31.000000+0.100000x; interpolation
420<=x<450; y=-123.000000+0.466667x; interpolation
450<=x<480; y=117.000000+-0.066667x; interpolation
480<=x<510; y=341.000000+-0.533333x; interpolation
510<=x<540; y=52.000000+0.033333x; interpolation
540<=x<570; y=106.000000+-0.066667x; interpolation
570<=x<600; y=-46.000000+0.200000x; interpolation
600<=x<630; y=194.000000+-0.200000x; interpolation
630<=x<660; y=-16.000000+0.133333x; interpolation
660<=x<690; y=-324.000000+0.600000x; interpolation
690<=x<720; y=527.000000+-0.633333x; interpolation
720<=x<750; y=-313.000000+0.533333x; interpolation
750<=x<780; y=462.000000+-0.500000x; interpolation
780<=x<810; y=-292.000000+0.466667x; interpolation
810<=x<840; y=437.000000+-0.433333x; interpolation
840<=x<870; y=-319.000000+0.466667x; interpolation
870<=x<900; y=319.000000+-0.266667x; interpolation
900<=x<930; y=-131.000000+0.233333x; interpolation
930<=x<960; y=179.000000+-0.100000x; interpolation
960<=x<990; y=531.000000+-0.466667x; interpolation
990<=x<1020; y=-327.000000+0.400000x; interpolation
1020<=x<1050; y=455.000000+-0.366667x; interpolation
1050<=x<1080; y=0.000000+0.066667x; interpolation
1080<=x<1110; y=144.000000+-0.066667x; interpolation
1110<=x<1140; y=-152.000000+0.200000x; interpolation
1140<=x<1170; y=-266.000000+0.300000x; interpolation
1170<=x<1200; y=475.000000+-0.333333x; interpolation
1200<=x<1230; y=315.000000+-0.200000x; interpolation
1230<=x<1260; y=-382.000000+0.366667x; interpolation
1260<=x<1290; y=458.000000+-0.300000x; interpolation
1290<=x<1320; y=-144.000000+0.166667x; interpolation
1320<=x<1350; y=-408.000000+0.366667x; interpolation
1350<=x<1380; y=87.000000+0.000000x; interpolation
1380<=x<1410; y=-189.000000+0.200000x; interpolation
1410<=x<1440; y=281.000000+-0.133333x; interpolation
1440<=x<1470; y=233.000000+-0.100000x; interpolation
1470<=x<1500; y=429.000000+-0.233333x; interpolation
1500<=x<1530; y=729.000000+-0.433333x; interpolation
1530<=x<1560; y=-138.000000+0.133333x; interpolation
1560<=x<1590; y=174.000000+-0.066667x; interpolation
1590<=x<1620; y=-674.000000+0.466667x; interpolation
1620<=x<1650; y=730.000000+-0.400000x; interpolation
1650<=x<1680; y=180.000000+-0.066667x; interpolation
1680<=x<1710; y=-44.000000+0.066667x; interpolation
1710<=x<1740; y=127.000000+-0.033333x; interpolation
1740<=x<1770; y=11.000000+0.033333x; interpolation
1770<=x<1800; y=129.000000+-0.033333x; interpolation
1800<=x<1830; y=-1071.000000+0.633333x; interpolation
1830<=x<1860; y=1552.000000+-0.800000x; interpolation
1860<=x<1890; y=-246.000000+0.166667x; interpolation
1890<=x<1920; y=-1380.000000+0.766667x; interpolation
1920<=x<1950; y=1500.000000+-0.733333x; interpolation
1950<=x<1980; y=-1360.000000+0.733333x; interpolation
1980<=x<2010; y=422.000000+-0.166667x; interpolation
2010<=x<2040; y=20.000000+0.033333x; interpolation
2040<=x<2070; y=1312.000000+-0.600000x; interpolation
2070<=x<2100; y=277.000000+-0.100000x; interpolation
2100<=x<2130; y=67.000000+0.000000x; interpolation
2130<=x<2160; y=-146.000000+0.100000x; interpolation
2160<=x<2190; y=142.000000+-0.033333x; interpolation
2190<=x<2220; y=-1318.000000+0.633333x; interpolation
2220<=x<2250; y=88.000000+0.000000x; interpolation
