3360<=x<=3390; y=-49.000000+0.033333x; interpolation
3390<=x<=3420; y=-1970.000000+0.600000x; interpolation
3420<=x<=3450; y=196.000000+-0.033333x; interpolation
3450<=x<=3480; y=2151.000000+-0.600000x; interpolation
3480<=x<=3510; y=63.000000+0.000000x; interpolation
3510<=x<=3540; y=-1809.000000+0.533333x; interpolation
3540<=x<=3570; y=197.000000+-0.033333x; interpolation
3570<=x<=3600; y=1744.000000+-0.466667x; interpolation
3600<=x<=3630; y=184.000000+-0.033333x; interpolation
3630<=x<=3660; y=-1752.000000+0.500000x; interpolation
3660<=x<=3690; y=1054.000000+-0.266667x; interpolation
3690<=x<=3720; y=931.000000+-0.233333x; interpolation
3720<=x<=3750; y=187.000000+-0.033333x; interpolation
3750<=x<=3780; y=-2313.000000+0.633333x; interpolation
3780<=x<=3810; y=711.000000+-0.166667x; interpolation
3810<=x<=3840; y=1981.000000+-0.500000x; interpolation
3840<=x<=3870; y=-67.000000+0.033333x; interpolation
3870<=x<=3900; y=-2002.000000+0.533333x; interpolation
3900<=x<=3930; y=728.000000+-0.166667x; interpolation
3930<=x<=3960; y=1514.000000+-0.366667x; interpolation
3960<=x<=3990; y=-466.000000+0.133333x; interpolation
3990<=x<=4020; y=-1796.000000+0.466667x; interpolation
4020<=x<=4050; y=1152.000000+-0.266667x; interpolation
4050<=x<=4080; y=1422.000000+-0.333333x; interpolation
4080<=x<=4110; y=-74.000000+0.033333x; interpolation
4110<=x<=4140; y=-2266.000000+0.566667x; interpolation
4140<=x<=4170; y=356.000000+-0.066667x; interpolation
4170<=x<=4200; y=2302.000000+-0.533333x; interpolation
4200<=x<=4230; y=-78.000000+0.033333x; interpolation
4230<=x<=4260; y=-2334.000000+0.566667x; interpolation
4260<=x<=4290; y=506.000000+-0.100000x; interpolation
4290<=x<=4320; y=2222.000000+-0.500000x; interpolation
4320<=x<=4350; y=350.000000+-0.066667x; interpolation
4350<=x<=4380; y=-2985.000000+0.700000x; interpolation
4380<=x<=4410; y=811.000000+-0.166667x; interpolation
