0<=x<30; y=81.000000+-0.566667x; interpolation
30<=x<60; y=62.000000+0.066667x; interpolation
60<=x<90; y=26.000000+0.666667x; interpolation
90<=x<120; y=92.000000+-0.066667x; interpolation
120<=x<150; y=156.000000+-0.600000x; interpolation
150<=x<180; y=51.000000+0.100000x; interpolation
180<=x<210; y=-27.000000+0.533333x; interpolation
210<=x<240; y=120.000000+-0.166667x; interpolation
240<=x<270; y=192.000000+-0.466667x; interpolation
270<=x<300; y=66.000000+0.000000x; interpolation
300<=x<330; y=-164.000000+0.766667x; interpolation
330<=x<360; y=133.000000+-0.133333x; interpolation
360<=x<390; y=289.000000+-0.566667x; interpolation
390<=x<420; y=29.000000+0.100000x; interpolation
420<=x<450; y=-111.000000+0.433333x; interpolation
450<=x<480; y=39.000000+0.100000x; interpolation
480<=x<510; y=423.000000+-0.700000x; interpolation
510<=x<540; y=49.000000+0.033333x; interpolation
540<=x<570; y=-221.000000+0.533333x; interpolation
570<=x<600; y=83.000000+0.000000x; interpolation
600<=x<630; y=403.000000+-0.533333x; interpolation
630<=x<660; y=4.000000+0.100000x; interpolation
660<=x<690; y=-326.000000+0.600000x; interpolation
690<=x<720; y=111.000000+-0.033333x; interpolation
720<=x<750; y=615.000000+-0.733333x; interpolation
750<=x<780; y=-85.000000+0.200000x; interpolation
780<=x<810; y=-319.000000+0.500000x; interpolation
810<=x<840; y=167.000000+-0.100000x; interpolation
840<=x<870; y=503.000000+-0.500000x; interpolation
870<=x<900; y=10.000000+0.066667x; interpolation
900<=x<930; y=-500.000000+0.633333x; interpolation
930<=x<960; y=182.000000+-0.100000x; interpolation
960<=x<990; y=662.000000+-0.600000x; interpolation
990<=x<1020; y=-97.000000+0.166667x; interpolation
1020<=x<1050; y=-403.000000+0.466667x; interpolation
1050<=x<1080; y=122.000000+-0.033333x; interpolation
1080<=x<1110; y=698.000000+-0.566667x; interpolation
1110<=x<1140; y=-5.000000+0.066667x; interpolation
1140<=x<1170; y=-575.000000+0.566667x; interpolation
1170<=x<1200; y=205.000000+-0.100000x; interpolation
1200<=x<1230; y=645.000000+-0.466667x; interpolation
1230<=x<1260; y=30.000000+0.033333x; interpolation
1260<=x<1290; y=-474.000000+0.433333x; interpolation
1290<=x<1320; y=-44.000000+0.100000x; interpolation
1320<=x<1350; y=880.000000+-0.600000x; interpolation
1350<=x<1380; y=25.000000+0.033333x; interpolation
1380<=x<1410; y=-849.000000+0.666667x; interpolation
1410<=x<1440; y=326.000000+-0.166667x; interpolation
1440<=x<1470; y=854.000000+-0.533333x; interpolation
1470<=x<1500; y=70.000000+0.000000x; interpolation
1500<=x<1530; y=-880.000000+0.633333x; interpolation
1530<=x<1560; y=293.000000+-0.133333x; interpolation
1560<=x<1590; y=865.000000+-0.500000x; interpolation
1590<=x<1620; y=-36.000000+0.066667x; interpolation
1620<=x<1650; y=-522.000000+0.366667x; interpolation
1650<=x<1680; y=-137.000000+0.133333x; interpolation
1680<=x<1710; y=927.000000+-0.500000x; interpolation
1710<=x<1740; y=-42.000000+0.066667x; interpolation
1740<=x<1770; y=-738.000000+0.466667x; interpolation
1770<=x<1800; y=265.000000+-0.100000x; interpolation
1800<=x<1830; y=985.000000+-0.500000x; interpolation
1830<=x<1860; y=9.000000+0.033333x; interpolation
1860<=x<1890; y=-673.000000+0.400000x; interpolation
1890<=x<1920; y=20.000000+0.033333x; interpolation
1920<=x<1950; y=980.000000+-0.466667x; interpolation
1950<=x<1980; y=-190.000000+0.133333x; interpolation
1980<=x<2010; y=-784.000000+0.433333x; interpolation
2010<=x<2040; y=87.000000+0.000000x; interpolation
2040<=x<2070; y=1243.000000+-0.566667x; interpolation
2070<=x<2100; y=-68.000000+0.066667x; interpolation
2100<=x<2130; y=-1188.000000+0.600000x; interpolation
2130<=x<2160; y=374.000000+-0.133333x; interpolation
2160<=x<2190; y=1166.000000+-0.500000x; interpolation
2190<=x<2220; y=-75.000000+0.066667x; interpolation
2220<=x<2250; y=443.000000+-0.166667x; interpolation
2250<=x<2280; y=-1282.000000+0.600000x; interpolation
2280<=x<2310; y=1226.000000+-0.500000x; interpolation
2310<=x<2340; y=-160.000000+0.100000x; interpolation
2340<=x<2370; y=-1096.000000+0.500000x; interpolation
2370<=x<2400; y=247.000000+-0.066667x; interpolation
2400<=x<2430; y=1367.000000+-0.533333x; interpolation
