3480<=x<3510; y=66.000000+0.000000x; interpolation
3510<=x<3540; y=417.000000+-0.100000x; interpolation
3540<=x<3570; y=-409.000000+0.133333x; interpolation
3570<=x<3600; y=424.000000+-0.100000x; interpolation
3600<=x<3630; y=304.000000+-0.066667x; interpolation
3630<=x<3660; y=-2842.000000+0.800000x; interpolation
3660<=x<3690; y=2526.000000+-0.666667x; interpolation
3690<=x<3720; y=189.000000+-0.033333x; interpolation
3720<=x<3750; y=-555.000000+0.166667x; interpolation
3750<=x<3780; y=-1305.000000+0.366667x; interpolation
3780<=x<3810; y=2097.000000+-0.533333x; interpolation
3810<=x<3840; y=319.000000+-0.066667x; interpolation
3840<=x<3870; y=-449.000000+0.133333x; interpolation
3870<=x<3900; y=-2126.000000+0.566667x; interpolation
3900<=x<3930; y=994.000000+-0.233333x; interpolation
3930<=x<3960; y=1780.000000+-0.433333x; interpolation
3960<=x<3990; y=-464.000000+0.133333x; interpolation
3990<=x<4020; y=-2060.000000+0.533333x; interpolation
4020<=x<4050; y=2094.000000+-0.500000x; interpolation
4050<=x<4080; y=474.000000+-0.100000x; interpolation
4080<=x<4110; y=-342.000000+0.100000x; interpolation
4110<=x<4140; y=617.000000+-0.133333x; interpolation
4140<=x<4170; y=-1315.000000+0.333333x; interpolation
4170<=x<4200; y=-759.000000+0.200000x; interpolation
4200<=x<4230; y=1901.000000+-0.433333x; interpolation
4230<=x<4260; y=350.000000+-0.066667x; interpolation
4260<=x<4290; y=-1780.000000+0.433333x; interpolation
4290<=x<4320; y=-636.000000+0.166667x; interpolation
4320<=x<4350; y=804.000000+-0.166667x; interpolation
4350<=x<4380; y=2399.000000+-0.533333x; interpolation
4380<=x<4410; y=-1543.000000+0.366667x; interpolation
4410<=x<4440; y=-514.000000+0.133333x; interpolation
4440<=x<4470; y=1706.000000+-0.366667x; interpolation
4470<=x<4500; y=-1721.000000+0.400000x; interpolation
4500<=x<4530; y=1879.000000+-0.400000x; interpolation
4530<=x<4560; y=-84.000000+0.033333x; interpolation
4560<=x<4590; y=-2364.000000+0.533333x; interpolation
4590<=x<4620; y=2838.000000+-0.600000x; interpolation
4620<=x<4650; y=220.000000+-0.033333x; interpolation
4650<=x<4680; y=-90.000000+0.033333x; interpolation
4680<=x<4710; y=-90.000000+0.033333x; interpolation
4710<=x<4740; y=538.000000+-0.100000x; interpolation
4740<=x<4770; y=-3096.000000+0.666667x; interpolation
4770<=x<4800; y=2946.000000+-0.600000x; interpolation
4800<=x<4830; y=-254.000000+0.066667x; interpolation
4830<=x<4860; y=-2830.000000+0.600000x; interpolation
4860<=x<4890; y=3488.000000+-0.700000x; interpolation
4890<=x<4920; y=-2543.000000+0.533333x; interpolation
4920<=x<4950; y=-411.000000+0.100000x; interpolation
4950<=x<4980; y=2889.000000+-0.566667x; interpolation
4980<=x<5010; y=67.000000+0.000000x; interpolation
5010<=x<5040; y=-2772.000000+0.566667x; interpolation
5040<=x<5070; y=2604.000000+-0.500000x; interpolation
5070<=x<5100; y=-2973.000000+0.600000x; interpolation
5100<=x<5130; y=937.000000+-0.166667x; interpolation
5130<=x<5160; y=3331.000000+-0.633333x; interpolation
5160<=x<5190; y=-625.000000+0.133333x; interpolation
5190<=x<5220; y=-2874.000000+0.566667x; interpolation
5220<=x<5250; y=258.000000+-0.033333x; interpolation
5250<=x<5280; y=3058.000000+-0.566667x; interpolation
5280<=x<5310; y=-110.000000+0.033333x; interpolation
5310<=x<5340; y=-2942.000000+0.566667x; interpolation
5340<=x<5370; y=796.000000+-0.133333x; interpolation
5370<=x<5400; y=2407.000000+-0.433333x; interpolation
5400<=x<5430; y=247.000000+-0.033333x; interpolation
5430<=x<5460; y=-3373.000000+0.633333x; interpolation
5460<=x<5490; y=85.000000+0.000000x; interpolation
5490<=x<5520; y=3379.000000+-0.600000x; interpolation
5520<=x<5550; y=-117.000000+0.033333x; interpolation
5550<=x<5580; y=-2892.000000+0.533333x; interpolation
5580<=x<5610; y=2688.000000+-0.466667x; interpolation
5610<=x<5640; y=-2548.000000+0.466667x; interpolation
5640<=x<5670; y=2904.000000+-0.500000x; interpolation
5670<=x<5700; y=-2766.000000+0.500000x; interpolation
5700<=x<5730; y=1034.000000+-0.166667x; interpolation
5730<=x<5760; y=2562.000000+-0.433333x; interpolation
5760<=x<5790; y=-702.000000+0.133333x; interpolation
5790<=x<5820; y=-2246.000000+0.400000x; interpolation
5820<=x<5850; y=2410.000000+-0.400000x; interpolation
5850<=x<5880; y=-2855.000000+0.500000x; interpolation
5880<=x<5910; y=477.000000+-0.066667x; interpolation
5910<=x<5940; y=3432.000000+-0.566667x; interpolation
5940<=x<5970; y=-726.000000+0.133333x; interpolation
5970<=x<6000; y=-1920.000000+0.333333x; interpolation
6000<=x<6030; y=-320.000000+0.066667x; interpolation
6030<=x<6060; y=3298.000000+-0.533333x; interpolation
6060<=x<6090; y=-1954.000000+0.333333x; interpolation
6090<=x<6120; y=-1548.000000+0.266667x; interpolation
6120<=x<6150; y=3144.000000+-0.500000x; interpolation
6150<=x<6180; y=684.000000+-0.100000x; interpolation
6180<=x<6210; y=66.000000+0.000000x; interpolation
6210<=x<6240; y=-2625.000000+0.433333x; interpolation
6240<=x<6270; y=287.000000+-0.033333x; interpolation
6270<=x<6300; y=4676.000000+-0.733333x; interpolation
6300<=x<6330; y=-2464.000000+0.400000x; interpolation
6330<=x<6360; y=1123.000000+-0.166667x; interpolation
6360<=x<6390; y=-1209.000000+0.200000x; interpolation
6390<=x<6420; y=-2487.000000+0.400000x; interpolation
6420<=x<6450; y=2649.000000+-0.400000x; interpolation
6450<=x<6480; y=-2726.000000+0.433333x; interpolation
6480<=x<6510; y=730.000000+-0.100000x; interpolation
6510<=x<6540; y=2900.000000+-0.433333x; interpolation
6540<=x<6570; y=-152.000000+0.033333x; interpolation
6570<=x<6600; y=286.000000+-0.033333x; interpolation
6600<=x<6630; y=-374.000000+0.066667x; interpolation
6630<=x<6660; y=-2142.000000+0.333333x; interpolation
6660<=x<6690; y=-144.000000+0.033333x; interpolation
6690<=x<6720; y=3424.000000+-0.500000x; interpolation
6720<=x<6750; y=-1280.000000+0.200000x; interpolation
6750<=x<6780; y=-2180.000000+0.333333x; interpolation
6780<=x<6810; y=1436.000000+-0.200000x; interpolation
6810<=x<6840; y=-2196.000000+0.333333x; interpolation
6840<=x<6870; y=2592.000000+-0.366667x; interpolation
6870<=x<6900; y=-1759.000000+0.266667x; interpolation
6900<=x<6930; y=3761.000000+-0.533333x; interpolation
6930<=x<6960; y=-4093.000000+0.600000x; interpolation
6960<=x<6990; y=83.000000+0.000000x; interpolation
6990<=x<7020; y=4044.000000+-0.566667x; interpolation
7020<=x<7050; y=-3444.000000+0.500000x; interpolation
7050<=x<7080; y=-859.000000+0.133333x; interpolation
7080<=x<7110; y=85.000000+0.000000x; interpolation
7110<=x<7140; y=1270.000000+-0.166667x; interpolation
7140<=x<7170; y=-634.000000+0.100000x; interpolation
7170<=x<7200; y=-873.000000+0.133333x; interpolation
7200<=x<7230; y=1287.000000+-0.166667x; interpolation
7230<=x<7260; y=4420.000000+-0.600000x; interpolation
7260<=x<7290; y=-420.000000+0.066667x; interpolation
7290<=x<7320; y=-3093.000000+0.433333x; interpolation
7320<=x<7350; y=-897.000000+0.133333x; interpolation
7350<=x<7380; y=4248.000000+-0.566667x; interpolation
7380<=x<7410; y=-4116.000000+0.566667x; interpolation
7410<=x<7440; y=4035.000000+-0.533333x; interpolation
7440<=x<7470; y=-4397.000000+0.600000x; interpolation
7470<=x<7500; y=5065.000000+-0.666667x; interpolation
7500<=x<7530; y=565.000000+-0.066667x; interpolation
7530<=x<7560; y=-439.000000+0.066667x; interpolation
7560<=x<7590; y=-3715.000000+0.500000x; interpolation
7590<=x<7620; y=-932.000000+0.133333x; interpolation
7620<=x<7650; y=592.000000+-0.066667x; interpolation
7650<=x<7680; y=4162.000000+-0.533333x; interpolation
7680<=x<7710; y=66.000000+0.000000x; interpolation
7710<=x<7740; y=-4303.000000+0.566667x; interpolation
7740<=x<7770; y=-175.000000+0.033333x; interpolation
7770<=x<7800; y=4746.000000+-0.600000x; interpolation
7800<=x<7830; y=326.000000+-0.033333x; interpolation
7830<=x<7860; y=-4372.000000+0.566667x; interpolation
7860<=x<7890; y=-180.000000+0.033333x; interpolation
7890<=x<7920; y=83.000000+0.000000x; interpolation
7920<=x<7950; y=611.000000+-0.066667x; interpolation
7950<=x<7980; y=-184.000000+0.033333x; interpolation
7980<=x<8010; y=-450.000000+0.066667x; interpolation
8010<=x<8040; y=4890.000000+-0.600000x; interpolation
8040<=x<8070; y=1138.000000+-0.133333x; interpolation
8070<=x<8100; y=-5856.000000+0.733333x; interpolation
8100<=x<8130; y=84.000000+0.000000x; interpolation
8130<=x<8160; y=5233.000000+-0.633333x; interpolation
8160<=x<8190; y=-751.000000+0.100000x; interpolation
8190<=x<8220; y=-4846.000000+0.600000x; interpolation
8220<=x<8250; y=2278.000000+-0.266667x; interpolation
8250<=x<8280; y=3378.000000+-0.400000x; interpolation
